Date,Close,Volume,W_Average
1981-06-08,133.4900055,259700000,132.6404094
1981-06-15,132.2700043,271430000,132.591872
1981-06-22,132.5599976,223440000,132.5767535
1981-06-29,128.6399994,173660000,132.3258502
1981-07-06,129.3699951,229610000,132.1336348
1981-07-13,130.7599945,214070000,132.0307956
1981-07-20,128.4600067,215690000,131.7858928
1981-07-27,130.9199982,200420000,131.71714
1981-08-03,131.75,223840000,131.7135916
1981-08-10,132.4900055,229660000,131.7615058
1981-08-17,129.2299957,203440000,131.6040001
1981-08-24,124.0800018,223250000,131.1163873
1981-08-31,120.0699997,207530000,130.3818281
1981-09-07,121.6100006,180850000,129.769269
1981-09-14,116.2600021,211930000,128.823097
1981-09-21,112.7699966,247370000,127.673957
1981-09-28,119.3600006,247960000,126.9897635
1981-10-05,121.4499969,243930000,126.4629676
1981-10-12,119.1900024,194280000,125.8154409
1981-10-19,118.5999985,224230000,125.1618709
1981-10-26,121.8899994,238980000,124.7550752
1981-11-02,122.6699982,267300000,124.4278493
1981-11-09,121.6699982,245440000,124.0615696
1981-11-16,121.7099991,237810000,123.7258921
1981-11-23,125.0899963,189790000,123.6371607
1981-11-30,126.2600021,244880000,123.6403221
1981-12-07,124.9300003,228540000,123.5692899
1981-12-14,124,229810000,123.4538275
1981-12-21,122.5400009,156460000,123.2599351
1981-12-28,122.5500031,147360000,123.0883009
1982-01-04,119.5500031,221240000,122.743914
1982-01-11,116.3300018,237080000,122.2217636
1982-01-18,115.3799973,231830000,121.6726022
1982-01-25,120.4000015,278190000,121.4842582
1982-02-01,117.2600021,248950000,121.111054
1982-02-08,114.3799973,233340000,120.5780861
1982-02-15,113.2200012,208690000,120.0055055
1982-02-22,113.1100006,281210000,119.4586023
1982-03-01,109.3399963,328820000,118.7067741
1982-03-08,108.6100006,305390000,117.956043
1982-03-15,110.6100006,241690000,117.385699
1982-03-22,111.9400024,268490000,116.9412045
1982-03-29,115.1200027,241200000,116.7279789
1982-04-05,116.2200012,203420000,116.596366
1982-04-12,116.8099976,241920000,116.5144089
1982-04-19,118.6399994,307210000,116.5493336
1982-04-26,116.4400024,267040000,116.4296993
1982-05-03,119.4700012,298740000,116.5118284
1982-05-10,118.0100021,268320000,116.5040221
1982-05-17,114.8899994,237000000,116.2974629
1982-05-24,111.8799973,222400000,115.9046885
1982-05-31,110.0899963,183430000,115.4179571
1982-06-07,111.2399979,266780000,115.0324731
1982-06-14,107.2799988,244380000,114.4139353
1982-06-21,109.1399994,262970000,113.9464299
1982-06-28,107.6500015,244630000,113.4170967
1982-07-05,108.8300018,220410000,113.003914
1982-07-12,111.0699997,318850000,112.7698709
1982-07-19,111.1699982,282010000,112.5700858
1982-07-26,107.0899963,232260000,112.1315265
1982-08-02,103.7099991,270740000,111.5081501
1982-08-09,103.8499985,251080000,110.9278704
1982-08-16,113.0199966,455130000,110.9660423
1982-08-23,117.1100006,549900000,111.2731606
1982-08-30,122.6800003,434400000,111.946709
1982-09-06,120.9700012,291090000,112.498279
1982-09-13,122.5500031,355120000,113.1376126
1982-09-20,123.3199997,377450000,113.8065588
1982-09-27,121.9700012,300900000,114.3664514
1982-10-04,131.0500031,488310000,115.4849892
1982-10-11,133.5700073,592460000,116.7178499
1982-10-18,138.8300018,506900000,118.2406887
1982-10-25,133.7200012,415890000,119.3760221
1982-11-01,142.1600037,561210000,121.0158718
1982-11-08,139.5299988,473190000,122.4302588
1982-11-15,137.0200043,414180000,123.6338505
1982-11-22,134.8800049,253910000,124.6598507
1982-11-29,138.6900024,411540000,125.8920014
1982-12-06,139.5700073,469680000,127.1395932
1982-12-13,137.4900055,392240000,128.2066258
1982-12-20,139.7200012,286570000,129.3689269
1982-12-27,140.6399994,276600000,130.5307117
1983-01-03,145.1799927,486700000,131.9197004
1983-01-10,146.6499939,473500000,133.3305387
1983-01-17,143.8500061,408390000,134.4760659
1983-01-24,144.5099945,421870000,135.5895279
1983-01-31,146.1399994,393000000,136.7288826
1983-02-07,147.6499939,427340000,137.8854198
1983-02-14,148,396130000,138.9858714
1983-02-21,149.7400055,382370000,140.1193771
1983-02-28,153.6699982,505470000,141.4147102
1983-03-07,151.2400055,410330000,142.4458288
1983-03-14,149.8999939,353270000,143.288581
1983-03-21,152.6699982,416420000,144.2307314
1983-03-28,152.9600067,300180000,145.1151189
1983-04-04,152.8500061,357150000,145.9272912
1983-04-11,158.75,441610000,147.0515492
1983-04-18,160.4199982,488450000,148.2056995
1983-04-25,164.4299927,499660000,149.5387743
1983-05-02,166.1000061,515470000,150.88828
1983-05-09,164.9100037,464670000,152.085635
1983-05-16,162.1399994,411950000,153.0368822
1983-05-23,164.4600067,487130000,154.0876783
1983-05-30,164.4199982,331230000,155.0697856
1983-06-06,162.6799927,438730000,155.8917636
1983-06-13,169.1300049,500010000,157.0800865
1983-06-20,170.4100037,467820000,158.2819361
1983-06-27,168.6399994,375090000,159.2931834
