Date,Growth,Close,Volume,W_Average
1950-12-29,1,20.43000031,3440000,19.13976474
1951-01-02,1,20.77000046,3030000,19.16011002
1951-01-03,0,20.69000053,3370000,19.17949411
1951-01-04,1,20.87000084,3390000,19.20051003
1951-01-05,0,20.87000084,3390000,19.22135581
1951-01-08,1,21,2780000,19.24332447
1951-01-09,1,21.12000084,3800000,19.26631055
1951-01-10,0,20.85000038,3270000,19.28643244
1951-01-11,1,21.19000053,3490000,19.30977374
1951-01-12,0,21.11000061,2950000,19.33213842
1951-01-15,1,21.29999924,2830000,19.35621204
1951-01-16,1,21.45999908,3740000,19.38169014
1951-01-17,1,21.54999924,3880000,19.40786376
1951-01-18,0,21.39999962,3490000,19.43233341
1951-01-19,0,21.36000061,3170000,19.45620058
1951-01-22,0,21.18000031,2570000,19.47808615
1951-01-23,1,21.26000023,2080000,19.50058715
1951-01-24,0,21.15999985,1990000,19.52191252
1951-01-25,0,21.03000069,2520000,19.54177621
1951-01-26,1,21.26000023,2230000,19.56377024
1951-01-29,1,21.67000008,2630000,19.58966925
1951-01-30,1,21.73999977,2480000,19.61607919
1951-01-31,0,21.65999985,2340000,19.64150606
1951-02-01,1,21.77000046,2380000,19.66784337
1951-02-02,1,21.95999908,3030000,19.69587769
1951-02-05,1,22.20000076,2680000,19.72610456
1951-02-06,0,22.12000084,2370000,19.75532895
1951-02-07,0,21.98999977,2020000,19.78305133
1951-02-08,1,22.09000015,2120000,19.81156825
1951-02-09,1,22.17000008,2550000,19.84066924
1951-02-13,1,22.18000031,2400000,19.86965382
1951-02-14,0,22.12000084,2050000,19.89782149
1951-02-15,0,22,1700000,19.92458318
1951-02-16,1,22.12999916,1860000,19.9524374
1951-02-19,0,21.82999992,1910000,19.97711203
1951-02-20,0,21.79000092,2010000,20.00120358
1951-02-21,1,21.86000061,1670000,20.02581652
1951-02-23,1,21.92000008,1540000,20.0508404
1951-02-26,1,21.93000031,1650000,20.0757797
1951-02-27,0,21.76000023,1680000,20.09884537
1951-02-28,1,21.79999924,1640000,20.12213542
1951-03-01,1,21.85000038,1610000,20.14574835
1951-03-02,1,21.93000031,1570000,20.1699802
1951-03-05,0,21.79000092,1690000,20.19263244
1951-03-06,0,21.79000092,1490000,20.21510907
1951-03-07,1,21.86000061,1770000,20.23811554
1951-03-08,1,21.95000076,1440000,20.26185137
1951-03-09,0,21.95000076,1610000,20.28541854
1951-03-12,0,21.70000076,1640000,20.30633546
1951-03-13,0,21.40999985,2330000,20.32421257
1951-03-14,0,21.25,2110000,20.34036332
1951-03-15,1,21.29000092,2070000,20.35678472
1951-03-16,1,21.63999939,1660000,20.37655934
1951-03-19,0,21.55999947,1120000,20.39539018
1951-03-20,0,21.52000046,1020000,20.41368172
1951-03-21,1,21.63999939,1310000,20.43303097
1951-03-22,1,21.72999954,1290000,20.45313295
1951-03-26,0,21.53000069,1230000,20.47109863
1951-03-27,0,21.51000023,1250000,20.48871953
1951-03-28,0,21.26000023,1770000,20.50372202
1951-03-29,1,21.32999992,1300000,20.5193051
1951-03-30,1,21.47999954,1150000,20.53627176
1951-04-02,0,21.31999969,1280000,20.55153593
1951-04-03,0,21.26000023,1220000,20.56610758
1951-04-04,1,21.39999962,1300000,20.58197225
1951-04-05,1,21.69000053,1790000,20.6006021
1951-04-06,1,21.71999931,1450000,20.61939314
1951-04-09,0,21.68000031,1110000,20.63764936
1951-04-10,0,21.64999962,1280000,20.65546975
1951-04-11,0,21.63999939,1420000,20.67305034
1951-04-12,1,21.82999992,1530000,20.69239014
1951-04-13,1,22.09000015,2120000,20.71418417
1951-04-16,0,22.04000092,1730000,20.73533393
1951-04-17,1,22.09000015,1470000,20.75678567
1951-04-18,1,22.12999916,1780000,20.77842746
1951-04-19,0,22.04000092,1520000,20.79897373
1951-04-20,0,22.04000092,940000,20.81929115
1951-04-23,1,22.04999924,1160000,20.83949164
1951-04-24,0,21.95999908,1420000,20.8585772
1951-04-25,1,21.96999931,1520000,20.8775558
1951-04-26,1,22.15999985,1800000,20.89822296
1951-04-27,1,22.38999939,2120000,20.9209553
1951-04-30,1,22.43000031,1790000,20.94384684
1951-05-01,1,22.53000069,1760000,20.96747918
1951-05-02,1,22.62000084,1900000,20.99172546
1951-05-03,1,22.80999947,2060000,21.01756724
1951-05-04,0,22.77000046,2050000,21.04271551
1951-05-07,0,22.62999916,1580000,21.06616774
1951-05-08,0,22.61000061,1600000,21.08914386
1951-05-09,1,22.63999939,1960000,21.11215729
1951-05-10,0,22.51000023,1660000,21.13362694
1951-05-11,0,22.32999992,1640000,21.15306077
1951-05-14,0,22.18000031,1250000,21.17076077
1951-05-15,0,21.76000023,2020000,21.1840354
1951-05-16,0,21.69000053,1660000,21.19639013
1951-05-17,1,21.90999985,1370000,21.21072545
1951-05-18,0,21.51000023,1660000,21.22087072
1951-05-21,0,21.45999908,1580000,21.23033589
1951-05-22,0,21.36000061,1440000,21.2386349
1951-05-23,0,21.15999985,1540000,21.2447742
